Plot,CanolaLine,Week,DAS,Phenotypic Stage,Block,GWC,pH,Ammonium.N,Nitrate.N,Mineralization.N,Nitrification.N,Root.Length,Root.Surface.Area,Root.Diameter,Yield (kg/ha),Seed N (kg/ha),NUEcrop,PFP,TSW,OilEx,Protein
1108,YN04-C1213,3,83,Physiological Maturity,1,0.169838946,5.15,2.892381482,7.588057697,30.49,NA,318.0466,117.442,1.1754,3274.58256,116.5930748,2.914826869,81.86456401,3.56,49,22.07
1111,NAM-37,3,83,Physiological Maturity,1,0.173020528,5.11,4.358801734,13.53685814,36.52,0.082499829,446.4887,90.2831,0.6436,2519.480519,97.18629147,2.429657287,62.98701299,3.76,45.77,24.53
1203,NAM-17,3,83,Physiological Maturity,2,0.209969789,5.17,6.3605993,15.80668806,37.83,NA,392.9404,73.9642,0.5992,2489.795918,93.54541948,2.338635487,62.24489796,4.14,44.06,25.77
1205,NAM-32,3,83,Physiological Maturity,2,0.164244186,5.2,3.85412736,12.56331727,41.65,NA,356.8004,65.1069,0.5808,2656.7718,111.2481076,2.781202691,66.41929499,3.48,51.64,20.76
1208,NAM-37,3,83,Physiological Maturity,2,0.161337209,5.41,7.030033487,8.155246815,28.15,0.040385387,543.6108,78.2384,0.4581,1332.096475,48.86944177,1.221736044,33.30241187,3.82,44.32,26.95
1209,NAM-13,3,83,Physiological Maturity,2,0.201503759,5.02,2.871070566,8.848323107,42.1,0.051618539,503.3677,139.5967,0.8828,3207.792208,110.9873757,2.774684392,80.19480519,3.57,47.67,22.13
1212,NAM-0,3,83,Physiological Maturity,2,0.147988506,5.14,7.252326645,14.38140521,26.86,NA,699.0823,90.4042,0.4116,2849.721707,106.0394975,2.650987438,71.24304267,3.15,49.25,23.3
1215,YN04-C1213,3,83,Physiological Maturity,2,0.181952663,5.24,18.10470843,24.82630156,41.58,NA,469.6086,65.9253,0.4469,3486.085343,125.3518313,3.133795783,87.15213358,3.64,49.44,21.97
1301,NAM-0,3,83,Physiological Maturity,3,0.15820029,5.15,15.3811625,43.89103537,56.15,NA,427.0748,96.5583,0.7197,2890.538033,102.0490031,2.551225078,72.26345083,3.19,49.2,23.28
1306,NAM-17,3,83,Physiological Maturity,3,0.20361991,5.14,3.85461047,10.92900911,38.76,NA,365.4295,78.0617,0.68,2272.727273,87.424865,2.185621625,56.81818182,3.96,44.36,25.26
1309,NAM-13,3,83,Physiological Maturity,3,0.231950845,5.04,4.786753473,9.582273577,34.82,0.120860945,609.2632,101.5235,0.5304,1686.456401,60.5609997,1.514024992,42.16141002,3.96,44.56,27.24
1310,NAM-32,3,83,Physiological Maturity,3,0.1816839,5.15,6.979654142,22.72715701,39.86,NA,437.2059,71.1192,0.5178,2868.274583,114.3935076,2.859837689,71.70686456,2.87,47,24.57
1313,YN04-C1213,3,83,Physiological Maturity,3,0.147776184,5.11,14.50631067,20.9487301,35,NA,419.9121,102.159,0.7744,3732.83859,140.232073,3.505801825,93.32096475,3.43,50.06,22.31
1316,NAM-37,3,83,Physiological Maturity,3,0.183431953,5.13,3.844929919,8.002614001,41.69,0.077545284,719.0568,106.7886,0.4727,2940.630798,111.849282,2.796232049,73.51576994,3.14,46.84,22.57
